English,Spanish
"No, she has not had diarrhea, but fever, yes, two times, of 103 degrees, that don't go away completely with the medicine.","No ha tenido diarrea, pero sí ha tenido fiebre, dos veces de 103 grados, que no se desvanecen completamente con la medicina."
"Nurse, prepare equipment for lumbar puncture. We will have to rule out meningitis.","Enfermera, prepara equipo para puncura lumbar. Necesitamos establecer un diagnóstico de meningitis."
We will have to take liquid from the spine. We will use a special needle and local anesthesia. Don't worry. It will not hurt her.," Le hararemos una punción en la columna vertebral. Utilizaremos una aguja especial y anestesia local. No te preocupes, no le causará dolor."
And after that?,¿Y después de eso?
"We will send the sample to the laboratory, to have a precise diagnosis.",Le enviamos el muestreo al laboratorio para un diagnóstico preciso.
Help me doctor! My daughter's belly hurts her so much and she does not stop crying.," ¡Médico, ayuda! Mi hija está tan dolorido en el vientre y no para llorar."
"She is pallid. When was your last period, Rosana?"," ¿Cuándo fue la última menstruación, Rosana?"
"Just now it is present since this morning, with many clots, and it hurts me a lot. Help me, please!",¡Justo ahora está presente desde esta mañana con muchos coágulos y me duele mucho! ¡Ayúdame por favor!
"Doctor! But she is only fourteen years old. She does not go out with anybody, she is still too young for that.","¿Doctor? ¡Pero ella solo tiene catorce años! No sale con nadie, todavía es demasiado joven para eso."
"Doctor, it hurts me a lot!","¡Doctor, me duele mucho!"
"Nurse, come with me to do a gynecological exam. And include a pregnancy test in the laboratory orders.","Enfermera, ¿vienes conmigo para hacer un examen ginecológico? Y incluye una prueba de embarazo en las órdenes del laboratorio."
"Sir, I have to inform you that your daughter is on the way to the operating room. She is having a miscarriage."," Señor, debo informarle que su hija se encuentra en camino al quirófico y está sufriendo un aborto."
"I bring to you Ricardo, because he has not had a bowel movement for five days.",Te traigo a Ricardo porque no ha tenido una evacuación intestinal en cinco días.
Is he eating normally?,¿Come de manera normal?
"Not now. Initially, he was eating all his food, but yesterday his appetite began to diminish. Now, he only wants to drink liquids, and when I touch his belly, he complains."," No ahora. Al principio, estaba comiendo todo su comida, pero hace un día que su apetito empezó a disminuir. Ahora solo quiere beber líquidos y cuando le toco su estómago, se queja."
"I understand. In reality, he looks a bit distended. Has he had anything else, like vomiting or fever?"," Entiendo. En realidad, parece un poco inflado. ¿Ha tenido algo más, como vomitos o fiebre?"
"This morning he burped, and threw up part of the milk that he had drunk. I took his temperature, but he did not have a fever."," This morning he burped, and threw up part of the milk that he had drunk. I took his temperature, but he did not have a fever."
"Some little children can have intestinal obstruction, which begins with those symptoms. I am going to request an abdominal xray to guide us in the diagnosis."," Algunos niños pequeños pueden tener una obstrucción intestinal, que comienza con estos síntomas. Va a solicitar una radiografía abdominal para ayudarnos en el diagnóstico."
"Doctor, do you have my son's results now?","¿Doctor, ¿tienes los resultados de mi hijo ahora?"
"Yes. The radiograph shows that it is only a case of severe constipation. We are going to give him an enema. Afterwords, you will take him home, and you are going to give him a mild laxative for a few days, to help him to regulate the bowel movements."," Sí. La radiografía muestra que solo es un caso de constipación severa. Le vamos a darle una enema. Luego, se llevará a casa y le dará un laxante suave durante unos días para ayudarle a regular sus movimientos intestinales."
"Doctor, my daughter is here because she has very irregular periods. Sometimes it comes every month, then 2 or 3 months go by without it coming.","¿Doctor, mi hija está aquí porque tiene periods muy irregulares? A veces viene cada mes, y luego pasan dos o tres meses sin venir."
How long ago is it that she had her first menstruation? Has it always been irregular like that?,¿Cuánto tiempo hace de su primera regla? ¿Ha sido siempre así?
"Two years ago I began with my periods. At first, it normally came every month, but 8 months ago it began to be irregular.","2 años atrás empecé con mis períodos. Al principio venía cada mes, pero hace 8 meses que empezó a ser irregular."
Have you gained weight recently?,Has gainado peso recientemente?
"Well, in reality, yes. In these last months, I have gained 5 pounds.","¿En realidad, sí? En estos últimos meses, he ganado 5 libras."
"Which seems strange to me, because she is eating the same amount."," ¿Qué parece extraño a mí, porque está comiendo la misma cantidad."
So that's why I have these changes?,¿Por qué tengo estas cambios?
"Don't worry. Once the diagnosis is made, I will prescribe for you treatment by means of hormones, which will regulate periods for you, and will improve your skin condition."," No te preocupes. Una vez que se hace el diagnóstico, te recetaré tratamiento con hormonas, que regularizarán tus periodos y mejorarán tu condición cutánea."
Hello!,¡Hola!
Mrs. Velásquez?,Señora Velásquez?
"Yes, it is I. Who is calling?",¡Sí soy yo! ¿Quién llama?
"I am Dr. Pérez. I want to speak with you about the results of the laboratory tests that we did on Manuel last week, when he came for his routine check up."," ¡Soy el Dr. Pérez! Quiero hablar contigo sobre los resultados de las pruebas de laboratorio que hicimos a Manuel la semana pasada, cuando vino por su revisión rutinaria."
Why? Is there something wrong?,¿Por qué? ¿Hay algo malo?
Anemia? But isn't that when the children are pallid and weak?," ¿Anemia? ¡No, es cuando los niños son pálidos y débiles!"
What is happening with Manuel is that his condition is moderate. Therefore he does not have symptoms.," Lo que está sucediendo con Manuel es que su condición es moderada. Por lo tanto, no tiene síntomas."
"But then if it is moderate and he does not have symptoms, why does he need medicine?"," Pero si es moderado y no tiene síntomas, ¿por qué necesita medicina?"
"To avoid problems with his mental development. The red blood cells of Manuel are small and pallid, and the levels of iron are low."," Para evitar problemas en el desarrollo mental de Manuel. Las células rojas de Manuel son pequeñas y pálidas, y los niveles de hierro están bajos."
"Problems with development? But he is already two years old, and he is growing so well...","¿Problemas con el desarrollo? ¡Pero ya tiene dos años y crece tan bien!"
"Yes, but if the iron deficiency persists, he can have learning difficlties when he is in school. Does he drink a lot of milk?"," ¡Sí! Pero si la deficiencia de hierro persiste, puede tener dificultades para aprender en la escuela. ¿Le gusta el leche?"
"Yes, of course, the only thing that he drinks is milk, all the time, and he eats quite a bit of bread, fruits, beans..."," ¡Sí, por supuesto! El único cosa que bebe es leche, todo el tiempo, y come bastante frutas, judías..."
"Oh, doctor, that, yes, is difficult. He doesn't like any kind of meat"," ¡Oh, doctor! ¡Eh, sí, es difícil! No le gusta ningún tipo de carne."
"Well, that is the explanation of the problem. I am going to prescribe iron for him. What is the name and telephone number of your pharmacy?",¡Bueno! Eso es la explicación del problema. Voy a recetar hierro para él. ¿Cuál es el nombre y el número de teléfono de tu farmacia?
"Good. Additionally, when you feed him, try to give him more meat and green vegatables, and less milk. Return here in two months to do the tests again. Agreed?"," ¡Buen! Además, cuando le des la comida, trata de darle más carne y vegetales verdes, y menos leche. Regresa aquí en dos meses para hacer los exámenes nuevamente. ¿Estás de acuerdo?"
"Yes, doctor, thanks for calling me."," ¡Doctor, gracias por llamarme!"
Why didn't this inhaler work last night when I was having trouble breathing?,¿Por qué no funcionó esta inhalador noche pasada cuando estaba teniendo dificultades para respirar?
"That medicine is an inhaled steroid, and doesn't work like albuterol does for respiratory emergencies. Alfredo, there are two components of asthma, airway hyperractivity, and chronic inflammation."," La medicina es un esteroide inhalado y no funciona como el albuterol en emergencias respiratorias. Alfredo, hay dos componentes de la asma, la hiperactividad bronquial y la inflamación crónica."
"When someone with asthma is exposed, for example, to an allergen, virus, or change in climate, the airways may contract, or squeeze, making air movement difficult. That is hyperreactivity."," When someone with asthma is exposed, for example, to an allergen, virus, or change in climate, the airways may contract, or squeeze, making air movement difficult. That is hyperreactivity."
"On the other hand, chronic underlying inflammation within the lining of the airways is the other component of asthma. To diminish this factor, the inhaled steroid is used daily throughout the year. It is a gradual process."," Por otro lado, la inflamación crónica subyacente en la limpieza de las vías respiratorias es el otro componente del asma. Para mitigar este factor, se utiliza el steróide inhalado diariamente durante todo el año. Es un proceso gradual."
"And when you have shortness of breath, the albuterol inhaler works quickly to dilate and open the airways."," Y cuando tienes dificultad para respirar, el inhalador de albuterol funciona rápidamente para dilatar y abrir las vías respiratorias."
Why do I have to brush my teeth after using the steroid inhaler?,¿Por qué tengo que cepillar mis dientes después de usar el inhalador de esteroides?
"It is the same medicine, and when the inhaler is used properly, it has the same effect as the nebulizer machine with mask and tubing."," Es el mismo medicamento y, al usarlo correctamente, tiene el mismo efecto que la nebulizadora con mascarilla y tubos."
"Remember that with the albuterol inhaler, you first must exhale completely. Then while you breathe in slowly and deeply, depress the canister, inhale as much as possible, and hold your breath for ten seconds."," Recorda que con el inhalador de albuterol, primero debes exhalar por completo. Luego, mientras respires lentamente y profundamente, presiona el canistro y inhala lo más posible durante diez segundos."
What is this medicine that I have to take orally for five days? Is it an antibiotic?,¿Qué medicamento es este que debo tomar por vía oral durante cinco días? ¿Es un antibiótico?
"No, it is an oral steroid. It is a powerful anti-inflammatory medicine to help you overcome the asthma exacerbation. For the next two days, you will have to use the albuterol frequently, every four hours."," No es una steróide oral. Es un medicamento antiinflamatorio poderoso para ayudarte a superar la exacerbación del asma. Por los próximos dos días, tendrás que usar el albuterol con frecuencia, cada cuatro horas."
"Omar is a year old, and he is a very healthy boy. His weight and size are normal, but we need to talk about something important."," Omar tiene un año y es un niño muy saludable. Su peso y tamaño son normales, pero necesitamos hablar de algo importante."
"Oh doctor, don't scare us! He eats very well."," ¡Oh doctor, no nos asustees! Come muy bien."
"Yes, I know. It is about something else that I want to talk to you. When I examined Omar, I noticed that the left testicle is not in the scrotum."," Sí, lo sé. Se trata de otra cosa que quiero hablar contigo. Cuando examiné a Omar, noté que el testículo izquierdo no está en la escrota."
What? And so then where is it?,¿Y así entonces dónde está?
"For the moment, we must do a study to see if he was in effect born with the left testicle. It is probably hidden higher up in his body. Once it is localized, it will be necessary to operate."," Por el momento, debemos hacer un estudio para ver si nació con el testículo izquierdo. Probablemente está escondido más alto en su cuerpo. Una vez que se haya localizado, será necesario operar."
And is it necessary to do it? Will he be a normal man when he grows up?,¿Es necesario hacerlo? Será un hombre normal cuando crezca?
"Yes. It is necessary. If the testicles do not descend at birth, or during the first year, it is important to do the surgery, to place them down in the scrotum. It is the only way that they will be able to function normally in the future."," Sí. Es necesario. Si los testículos no bajan en el nacimiento o durante el primer año, es importante hacer la cirugía para colocarlos en el escroto. Solo de esta manera podrán funcionar correctamente en el futuro."
Can something else happen if the testicle never lowers into the scrotum?,¿Puede algo más suceder si el testículo nunca baja al escroto?
And what do we have to do now?,¿Y ahora qué es lo que tenemos que hacer?
"Yes, we will place the epidural anesthesia, but first we are going to lay you down on the bed."," ¡Sí, vamos a colocar la anestesia epidural, pero primero vamos a tenderte en la cama."
"Lie down in a fetal position. We are going to clean the lower area of your back. Later, you are going to feel a pinch in the spine, but when that happens, please, do not move.",
I feel like something is going toward my legs.,Me siento como si algo se está dirigiendo hacia mis piernas.
Now we are going to confirm the pain block. I am touching you with a little needle. Do you feel pain in any area of the legs where I have been touching?,¡Confirmamos el bloqueo de dolor! Estoy tocando con una aguja muy ligeramente. ¿Sientes dolor en alguna área de las piernas donde estoy tocando?
"No, I do not feel anything, and I cannot move them!",No siento nada y no puedo moverme!
"Don't worry, that is normal. We will help you to position yourself on your back, in position for the birth. You are not going to have pain, but you are going to feel a kind of pressure when the baby begins to push."," No te preocupes, es normal. Te ayudaremos a posicionarte en tu dorso para el parto. No vas a tener dolor, pero vas a sentir un tipo de presión cuando el bebé comience a empujar."
"Yes, I am feeling it. I have to push."," ¡Sí, lo estoy sintiendo! Tengo que empujar."
"Okay. Take a deep breath. Hold it, and push! Very good. Again!"," ¡Okay! ¡Junté la respiración! ¡Reténla y empíeza!"""
"Continue Mrs. Dugarte, push! Very good, now rest, and let's wait for the next contraction.","Continúa, señora Dugarte, empuje muy bien. ¡Muy bien!, ahora descansa y esperemos el siguiente contracción."
"Here comes the contraction. Push hard. Hold it. One, two, three, four, five..."," Aquí viene la contracción. Empuja fuerte. Manténlo. Uno, dos, tres, cuatro, cinco..."
"Come on, my beautiful, only a little more!"," ¡Vamos, mi bella, solo un poco más!"
"Now, you are almost ready. You cannot stop now. Here comes the contraction. Come on, push!"," ¡Ya estás listo! No puedes parar ahora. Aquí viene la contracción. Vamos, empuje!"
"Now I can see the hair and part of the head. Very good, rest until the next contraction. Nurse, give me the scissors for the episiotomy.","Ahora puedo ver el cabello y parte de la cabeza. Muy bien, descansar hasta la siguiente contracción. Enfermera, ¡dame las tijeras para la episiotomía!"
"Now I can see him. Go on, my sweetheart, you can!"," ¡Ahora puedo verlo! ¡Adelante, mi amor!, ¿puedes!"
In the next contraction the doctor is going to make a little cut to help the baby come out. Here comes the contraction. Push one more time!,En la próxima contracción el médico va a hacer un pequeño corto para ayudar al bebé a salir. Aquí viene la contracción. Empuja una más vez!
"Perfect, head out. Very good, stop, do not push anymore! The baby is coming out. Here he is, it is a boy! Congratulations mom!"," ¡Perfecto! ¡Salea la cabeza! Muy bien, para ya, no empujes más! ¡El bebé sale! ¡Es un chico! ¡Felicidades, mamá!"
"Fantastic, he is very beautiful!",¡Fantástico! ¡Es muy guapo!
Is my baby okay?,¿Mi bebé está bien?
"Don't you hear how he cries? He is perfect. They are cleaning him, and they are going to show him to you. Ahh, here he comes now... Dad brings him. What is his name going to be?","¿No escuchas cómo llora? ¡Es perfecto! ¡Van limpiándolo y van a presentarlo contigo! Ahí vieneee... ¡El padre se lo lleva! ¿Qué le van a llamar?"
"His name is Luciano. Luciano, I introduce you to your mom."," Su nombre es Luciano. Luciano, te presento a tu madre."
"Welcome to the world little son, I am your mom.","‟Bienvenido al mundo, pequeño hijo, soy tu madre”."
My daughter has a cough with a lot of phlegm.,Mi hija tiene una tos con mucha flema.
Does she also have a fever?,¿También tiene fiebre?
"Yes, she has a high fever, and the mucus is greenish."," Sí, tiene una fiebre alta y la mucosidad es verdeácida."
Is she eating well?,¿Come ella bien?
She only wants liquids and she is somnolent.,Ella solo quiere líquidos y está somnolenta.
"I hear some noises characteristic of pneumonia, here in the lower part of the right lung.",Escucho algunos ruidos característicos de la neumonía aquí en la parte inferior del pulmón derecho.
"Be calm, first we will request x-rays and laboratory tests. Later we will decide.",
"Ok, I wait for the results."," ¡Ok, esperaré los resultados!"
