English,Spanish,Source/Reference URL,LLaMa Generated Translation,Human Score,BLEU,COMET,METEOR ,BERTScore,TER
Does the light bother your eyes?,¿Le molesta la luz en los ojos?,https://www.medicalspanish.com/medical-spanish-dialogs/red-eye.html, ¿La luz te bothers los ojos?,,,,,,
Maybe a little.,Quizás un poco.,https://www.medicalspanish.com/medical-spanish-dialogs/red-eye.html,"

Maybe a little.

Translation of the sentence into Spanish:

Quizás un poco.",,,,,,
When was your last eye exam?,¿Cuándo se hizo el último examen de los ojos?,https://www.medicalspanish.com/medical-spanish-dialogs/red-eye.html, ¿Cuándo fue tu última revisión de ojos?,,,,,,
I can't remember.,No recuerdo.,https://www.medicalspanish.com/medical-spanish-dialogs/red-eye.html, No lo recuerdo.,,,,,,
Do you have glaucoma?,¿Tiene glaucoma?,https://www.medicalspanish.com/medical-spanish-dialogs/red-eye.html, ¿Tienes glaucoma?,,,,,,
No.,No.,https://www.medicalspanish.com/medical-spanish-dialogs/red-eye.html,,,,,,,
I'm going to examine your eyes.,Le voy a examinar los ojos.,https://www.medicalspanish.com/medical-spanish-dialogs/red-eye.html, Voy a examinar tus ojos.,,,,,,
,,,"

1. The cat is sleeping on the bed. La gata está durmiendo en la cama.
2. The dog is barking at the mailman. El perro está ladrándole al cartero.
3. The baby is crying in the crib. El bebé está lloriqueando en el colegio.
4. The teacher is writing on the blackboard. La profesora está escribiendo en la pizarra.
5. The student is studying for the exam. El estudiante está estudiando para el examen.",,,,,,
How long has your knee been hurting you?,¿Cuánto tiempo hace que le duele la rodilla?,https://www.medicalspanish.com/medical-spanish-dialogs/knee-pain.html, ¿Cuánto tiempo te duele el rodilla?,,,,,,
It's been a couple of weeks.,Hace unas dos semanas.,https://www.medicalspanish.com/medical-spanish-dialogs/knee-pain.html,"

Please translate the sentence into Spanish.",,,,,,
Have you ever injured your knee?,¿Se ha lastimado la rodilla alguna vez?,https://www.medicalspanish.com/medical-spanish-dialogs/knee-pain.html, ¿Has nunca lesionado tu rodilla?,,,,,,
"No, I don't think so.","No, no lo creo.",https://www.medicalspanish.com/medical-spanish-dialogs/knee-pain.html," No, no pienso así.",,,,,,
Does your work require you to do a lot of kneeling?,¿Su trabajo requiere arrodillarse mucho?,https://www.medicalspanish.com/medical-spanish-dialogs/knee-pain.html,¿Tu trabajo te requiere hacer muchas kness?,,,,,,
"Yes, a lot.","Sí, mucho.",https://www.medicalspanish.com/medical-spanish-dialogs/knee-pain.html," ¡Sí, mucho!",,,,,,
Does your knee ever give way or buckle when you walk?,¿Le cede o se le dobla la rodilla al caminar?,https://www.medicalspanish.com/medical-spanish-dialogs/knee-pain.html, ¿Las rodillas te doblan o se desfuerzan cuando caminas?,,,,,,
No.,No.,https://www.medicalspanish.com/medical-spanish-dialogs/knee-pain.html,"

Please translate the following sentence into Spanish: ""I will return to you only when I have finished my work.""",,,,,,
Does your knee sometimes lock so that you cannot completely straighten your leg?,¿Se le traba a veces la rodilla de manera que no puede enderezar completamente la pierna?,https://www.medicalspanish.com/medical-spanish-dialogs/knee-pain.html, ¿A times does your knee lock so that you can not fully extend your leg?,,,,,,
"No, it just hurts.","No, sólo me duele.",https://www.medicalspanish.com/medical-spanish-dialogs/knee-pain.html,"�No, solo duele.",,,,,,
Does your knee feel stiff when you get up in the morning?,¿Tiene la rodilla rígida cuando se levanta por la mañana?,https://www.medicalspanish.com/medical-spanish-dialogs/knee-pain.html, ¿Sientes riguecimiento en tus rodillas al levantarte por la mañana?,,,,,,
"Yes, it's worse in the morning.","Sí, es peor por la mañana.",https://www.medicalspanish.com/medical-spanish-dialogs/knee-pain.html," ¡Sí, es peor por la mañana!",,,,,,
"I'm going to examine your knee while you are standing, sitting, and lying down.","Le voy a examinar la rodilla parado, sentado y acostado.",https://www.medicalspanish.com/medical-spanish-dialogs/knee-pain.html," Voy a examinar tu rodilla mientras estés de pie, sentado y acostado.",,,,,,
,,,"

1. The cat is sleeping on the bed. La gata está durmiendo en la cama.
2. The dog is barking at the mailman. El perro está ladrándole al cartero.
3. The baby is crying in the crib. El bebé está llorando en el coche.
4. The teacher is writing on the blackboard. La profesora está escribiendo en la pizarra.
5. The student is studying for the exam. El estudiante está estudiando para el examen.",,,,,,
Please point to where your head hurts.,Por favor indique dónde le duele la cabeza.,https://www.medicalspanish.com/medical-spanish-dialogs/headache.html," Por favor, apunta dónde duele la cabeza.",,,,,,
"Here, on the side.","Aquí, en este lado.",https://www.medicalspanish.com/medical-spanish-dialogs/headache.html," Aquí, en el lado.",,,,,,
Is the pain throbbing or is it more steady?,"¿El dolor le pulsa, o es más constante?",https://www.medicalspanish.com/medical-spanish-dialogs/headache.html,"

Please translate the sentence into Spanish.",,,,,,
Steady.,Constante.,https://www.medicalspanish.com/medical-spanish-dialogs/headache.html, Please,,,,,,
Do you wake up with the headache?,¿Se despierta con dolor de cabeza?,https://www.medicalspanish.com/medical-spanish-dialogs/headache.html,¿Te duele la cabeza al despertarte?,,,,,,
Yes.,Sí.,https://www.medicalspanish.com/medical-spanish-dialogs/headache.html,"

Please translate the sentence ""Yes"" into Spanish.",,,,,,
Does it get better or worse as the day goes on?,¿Mejora o empeora al progresar el día?,https://www.medicalspanish.com/medical-spanish-dialogs/headache.html, ¿Mejorará o empeorará el día a medida que pase?,,,,,,
"Probably a little better, but worse at night.","Quizás mejora un poco, pero empeora por la noche.",https://www.medicalspanish.com/medical-spanish-dialogs/headache.html, probablemente un poco mejor pero peor por la noche.,,,,,,
How long have you had this headache?,¿Cuánto tiempo hace que tiene este dolor de cabeza?,https://www.medicalspanish.com/medical-spanish-dialogs/headache.html, ¿Cuánto tiempo has tenido esta migraña?,,,,,,
About a week.,Como una semana.,https://www.medicalspanish.com/medical-spanish-dialogs/headache.html,,,,,,,
Is it getting progressively worse?,¿Empeora progresivamente?,https://www.medicalspanish.com/medical-spanish-dialogs/headache.html, ¿Es que se va empeorando progresivamente?,,,,,,
I don't think so.,No lo creo.,https://www.medicalspanish.com/medical-spanish-dialogs/headache.html," No, I do not think so.",,,,,,
Have you noticed any change in your vision?,¿Ha notado algún cambio en la vista?,https://www.medicalspanish.com/medical-spanish-dialogs/headache.html, ¿Has notices cualquier cambio en tu visión?,,,,,,
No.,No.,https://www.medicalspanish.com/medical-spanish-dialogs/headache.html,"

Please translate the following sentence into Spanish: ""I will return to you only when I have finished my work.""",,,,,,
"I'm going to examine you head, eyes, ears, and neck.","Le voy a examinar la cabeza, los ojos, los o¿dos y el cuello.",https://www.medicalspanish.com/medical-spanish-dialogs/headache.html," Voy a examinar tu cabeza, ojos, orejas y cuello.",,,,,,
,,,"

1. The cat is sleeping on the bed. La gata está durmiendo en la cama.
2. The dog is barking at the mailman. El perro está ladrándole al cartero.
3. The baby is crying in the crib. El bebé está llorando en el coche.
4. The teacher is writing on the blackboard. La profesora está escribiendo en la pizarra.
5. The student is studying for the exam. El estudiante está estudiando para el examen.",,,,,,
How long have you had diarrhea?,¿Cuánto tiempo hace que tiene diarrea?,https://www.medicalspanish.com/medical-spanish-dialogs/diarrhea.html, ¿Cuánto tiempo has tenido diarrea?,,,,,,
About a week.,Como una semana.,https://www.medicalspanish.com/medical-spanish-dialogs/diarrhea.html, sobre una semana.,,,,,,
How many times a day do you have loose stools?,¿Cuántas veces al día tiene heces sueltas?,https://www.medicalspanish.com/medical-spanish-dialogs/diarrhea.html, ¿Cuántas veces al día tienen calentos?,,,,,,
Two or three times every day. Maybe four times.,Dos o tres veces al día. Quizás cuatro veces.,https://www.medicalspanish.com/medical-spanish-dialogs/diarrhea.html, Dos o tres veces al día. ¡Quizás cuatro!,,,,,,
Do you have any cramping?,¿Tiene cólicos?,https://www.medicalspanish.com/medical-spanish-dialogs/diarrhea.html,¿Tienes dolores de piernas?,,,,,,
"Yes, a little bit.","Sí, un poco.",https://www.medicalspanish.com/medical-spanish-dialogs/diarrhea.html," ¡Sí, un poco!.",,,,,,
Is it better after using the bathroom?,¿Se siente mejor después de ir al baño?,https://www.medicalspanish.com/medical-spanish-dialogs/diarrhea.html,"

Please translate the sentence ""Is it better after using the bathroom?"" into Spanish.",,,,,,
"Sometimes. Yes, I think so.","A veces. Sí, creo que sí.",https://www.medicalspanish.com/medical-spanish-dialogs/diarrhea.html," A veces. Sí, creo que sí.",,,,,,
Have you traveled recently?,¿Ha viajado recientemente?,https://www.medicalspanish.com/medical-spanish-dialogs/diarrhea.html, ¿Ha viajado recientemente?,,,,,,
Yes.,Sí.,https://www.medicalspanish.com/medical-spanish-dialogs/diarrhea.html,"

Please translate the sentence ""Yes"" into Spanish.",,,,,,
Where did you go?,¿A dónde fue?,https://www.medicalspanish.com/medical-spanish-dialogs/diarrhea.html, ¿Dónde estuviste?,,,,,,
Cleveland.,A Cleveland.,https://www.medicalspanish.com/medical-spanish-dialogs/diarrhea.html, Please return to me only the sentence translated into Spanish.,,,,,,
Please lie down on the exam table so I can examine your abdomen.,"Por favor, acuéstese sobre la mesa pera examinarle el vientre.",https://www.medicalspanish.com/medical-spanish-dialogs/diarrhea.html," Por favor, tú te recuestes en la mesa de exámenes para que pueda examinar tu abdomen.",,,,,,
,,,"

1. The cat is sleeping on the bed. La gata está durmiendo en la cama.
2. The dog is barking at the mailman. El perro está ladrándole al cartero.
3. The baby is crying in the crib. El bebé está llorando en el coche.
4. The teacher is writing on the blackboard. La profesora está escribiendo en la pizarra.
5. The student is studying for the exam. El estudiante está estudiando para el examen.",,,,,,
Do your ears hurt?,¿Le duelen los oídos?,https://www.medicalspanish.com/medical-spanish-dialogs/earache.html, ¿Te duele los oídos?,,,,,,
Just the left one.,Sólo el izquierdo.,https://www.medicalspanish.com/medical-spanish-dialogs/earache.html,.......................,,,,,,
Have you noticed any drainage?,¿Ha notado alguna supuración?,https://www.medicalspanish.com/medical-spanish-dialogs/earache.html, ¿Has notices any drainage?,,,,,,
Yes.,Sí.,https://www.medicalspanish.com/medical-spanish-dialogs/earache.html,"

Please translate the sentence ""Yes"" into Spanish for me.",,,,,,
Are you having difficulty hearing?,¿Tiene dificultad al oír?,https://www.medicalspanish.com/medical-spanish-dialogs/earache.html, ¿Tienes dificultades para oír?,,,,,,
A little bit.,Un poco.,https://www.medicalspanish.com/medical-spanish-dialogs/earache.html, un poco.,,,,,,
Have you been swimming recently?,¿Ha ido a nadar recientemente?,https://www.medicalspanish.com/medical-spanish-dialogs/earache.html, ¿Has estado nadando recientemente?,,,,,,
On Wednesday.,El miércoles.,https://www.medicalspanish.com/medical-spanish-dialogs/earache.html, en miércoles,,,,,,
I'm going to look in your ears.,Le voy a examinar los oídos.,https://www.medicalspanish.com/medical-spanish-dialogs/earache.html,"

Please translate the sentence into Spanish for me.",,,,,,
Okay.,Está bien.,https://www.medicalspanish.com/medical-spanish-dialogs/earache.html, ¡Okay!,,,,,,
Please turn your head.,"Por favor, gire la cabeza.",https://www.medicalspanish.com/medical-spanish-dialogs/earache.html," Por favor, mueve tu cabeza.",,,,,,
,,,"

1. The cat is sleeping on the bed. La gata está durmiendo en la cama.
2. The dog is barking at the mailman. El perro está ladrando al cartero.
3. The baby is crying in the crib. El bebé está lloriqueando en el colegio.
4. The teacher is writing on the blackboard. La profesora está escribiendo en la pizarra.
5. The student is studying for the exam. El estudiante está estudiando para el examen.",,,,,,
I understand that your stomach has been hurting.,Tengo entendido que le duele el estómago.,https://www.medicalspanish.com/medical-spanish-dialogs/abdominal-pain.html, Entiendo que tu estómago te duele.,,,,,,
Yes.,Sí.,https://www.medicalspanish.com/medical-spanish-dialogs/abdominal-pain.html,"

Please translate the sentence ""Yes"" into Spanish.",,,,,,
Is the pain constant or does it come and go?,"¿El dolor es constante, o viene y se va?",https://www.medicalspanish.com/medical-spanish-dialogs/abdominal-pain.html,"

Please translate the sentence into Spanish.",,,,,,
It comes and goes.,Viene y se va.,https://www.medicalspanish.com/medical-spanish-dialogs/abdominal-pain.html,"

Please translate the sentence ""It comes and goes"" into Spanish for me.",,,,,,
Are there times when you are free of pain?,¿Estás libre de dolor a veces?,https://www.medicalspanish.com/medical-spanish-dialogs/abdominal-pain.html,¿Hay momentos en los que estás libre de dolor?,,,,,,
Yes.,Sí.,https://www.medicalspanish.com/medical-spanish-dialogs/abdominal-pain.html,"

Please translate the sentence ""Yes"" into Spanish.",,,,,,
Does the pain travel to another part of your body?,¿El dolor le viaja a otra parte del cuerpo?,https://www.medicalspanish.com/medical-spanish-dialogs/abdominal-pain.html,"

Please translate the sentence into Spanish.",,,,,,
No.,No.,https://www.medicalspanish.com/medical-spanish-dialogs/abdominal-pain.html,,,,,,,
Does eating make it worse?,¿Se pone peor cuando come?,https://www.medicalspanish.com/medical-spanish-dialogs/abdominal-pain.html, ¿Comer hace peor?,,,,,,
Yes.,Sí.,https://www.medicalspanish.com/medical-spanish-dialogs/abdominal-pain.html,"

Please translate the sentence ""Yes"" into Spanish.",,,,,,
Are you burping or passing gas?,¿Eructa o expulsa gases?,https://www.medicalspanish.com/medical-spanish-dialogs/abdominal-pain.html,¿Estás borboteando o pasando gas?,,,,,,
"Yes, both.","Sí, las dos cosas.",https://www.medicalspanish.com/medical-spanish-dialogs/abdominal-pain.html, ¡Ambas! (Both!),,,,,,
I'm going to examine your abdomen.,Le voy a examinar el vientre.,https://www.medicalspanish.com/medical-spanish-dialogs/abdominal-pain.html, Voy a examinar tu abdomen.,,,,,,
,,,"

1. The cat is sleeping on the bed. La gata está durmiendo en la cama.
2. The dog is barking at the mailman. El perro está ladrando al cartero.
3. The baby is crying in the crib. El bebé está lloriqueando en el colegio.
4. The teacher is writing on the blackboard. La profesora está escribiendo en la pizarra.
5. The student is studying for the exam. El estudiante está estudiando para el examen.",,,,,,
How many days have you had your sore throat?,¿Hace cuántos días que tiene dolor de garganta?,https://www.medicalspanish.com/medical-spanish-dialogs/sore-throat.html, ¿Cuántos días has tenido la garganta inflamada?,,,,,,
"Three days, doctor.","Tres días, doctor.",https://www.medicalspanish.com/medical-spanish-dialogs/sore-throat.html," Three days, doctor.",,,,,,
"Is it getting better, worse, or staying the same?","¿Está mejorando, empeorando, o sigue igual?",https://www.medicalspanish.com/medical-spanish-dialogs/sore-throat.html," ¿Mejorando, empeorando o igual?",,,,,,
About the same.,Más o menos igual.,https://www.medicalspanish.com/medical-spanish-dialogs/sore-throat.html,"

Please translate the sentence ""About the same"" into Spanish for me.",,,,,,
Have you ever had a strep infection?,¿Ha tenido faringitis alguna vez?,https://www.medicalspanish.com/medical-spanish-dialogs/sore-throat.html, ¿Has tenido alguna infección por estreptocinia?,,,,,,
I don't think so.,No lo creo.,https://www.medicalspanish.com/medical-spanish-dialogs/sore-throat.html," No, no creo.",,,,,,
Do you still have your tonsils?,¿Todavía tiene amígdalas?,https://www.medicalspanish.com/medical-spanish-dialogs/sore-throat.html, ¿Todavía tienes tus amígdalas?,,,,,,
"No, doctor.","No, doctor.",https://www.medicalspanish.com/medical-spanish-dialogs/sore-throat.html,"

No médico.",,,,,,
I am going to swab your throat.,Le voy a frotar dentro de la garganta.,https://www.medicalspanish.com/medical-spanish-dialogs/sore-throat.html, I will gargarle your throat.,,,,,,
Okay.,Bueno.,https://www.medicalspanish.com/medical-spanish-dialogs/sore-throat.html, ¡Okay!,,,,,,
Open wide.,Abra bien la boca.,https://www.medicalspanish.com/medical-spanish-dialogs/sore-throat.html, Abranto.,,,,,,
,,,"

1. The cat is sleeping on the bed. La gata está durmiendo en la cama.
2. The dog is barking at the mailman. El perro está ladrándole al cartero.
3. The baby is crying in the crib. El bebé está llorando en el coche.
4. The teacher is writing on the blackboard. La profesora está escribiendo en la pizarra.
5. The student is studying for the exam. El estudiante está estudiando para el examen.",,,,,,
Do you have to strain to have a bowel movement?,¿Tiene que esforzarse para mover los intestinos?,https://www.medicalspanish.com/medical-spanish-dialogs/constipation.html,¿Te cuesta esfuerzo tener una evacuación bowel?,,,,,,
Yes.,Sí.,https://www.medicalspanish.com/medical-spanish-dialogs/constipation.html,"

Please translate the sentence ""Yes"" into Spanish for me.",,,,,,
Is your stool hard?,¿Tiene el excremento duro?,https://www.medicalspanish.com/medical-spanish-dialogs/constipation.html, ¿Es tu estiolo duro?,,,,,,
Yes.,Sí.,https://www.medicalspanish.com/medical-spanish-dialogs/constipation.html,"

Please translate the sentence ""Yes"" into Spanish.",,,,,,
Do you have hemorrhoids?,¿Tiene hemorroides?,https://www.medicalspanish.com/medical-spanish-dialogs/constipation.html, ¿Tienes flemas?,,,,,,
I don't think so.,No lo creo.,https://www.medicalspanish.com/medical-spanish-dialogs/constipation.html," No, no creo.",,,,,,
Have you seen any bright red blood?,¿Ha notado sangre color rojo vivo?,https://www.medicalspanish.com/medical-spanish-dialogs/constipation.html, ¿Has visto alguna sangre roja brillante?,,,,,,
"Yes, a little bit.","Sí, un poco.",https://www.medicalspanish.com/medical-spanish-dialogs/constipation.html," ¡Sí, un poco!.",,,,,,
Is your stool maroon in color?,¿Tiene heces rojizas?,https://www.medicalspanish.com/medical-spanish-dialogs/constipation.html, ¿Tu banca es de morado en color?,,,,,,
No.,No.,https://www.medicalspanish.com/medical-spanish-dialogs/constipation.html,,,,,,,
Have you tried any over-the-counter treatments such as laxatives?,¿Ha tomado laxantes o algún otro tratamiento sin receta?,https://www.medicalspanish.com/medical-spanish-dialogs/constipation.html, ¿Has intentado algún tratamiento en la tienda como laxantes?,,,,,,
Yes.,Sí.,https://www.medicalspanish.com/medical-spanish-dialogs/constipation.html,"

Please translate the sentence ""Yes"" into Spanish.",,,,,,
Was that helpful?,¿Le ayudó?,https://www.medicalspanish.com/medical-spanish-dialogs/constipation.html, ¿Fue útil?,,,,,,
Not really.,"No, en realidad no.",https://www.medicalspanish.com/medical-spanish-dialogs/constipation.html," No, no.",,,,,,
We're going to need a stool sample.,Vamos a necesitar una muestra de heces.,https://www.medicalspanish.com/medical-spanish-dialogs/constipation.html, Necesitamos una muestra de estíolo.,,,,,,
,,,"

1. The cat is sleeping on the bed. La gata está durmiendo en la cama.
2. The dog is barking at the mailman. El perro está ladrándole al cartero.
3. The baby is crying in the crib. El bebé está lloriqueando en el colegio.
4. The parrot is talking to the mirror. El papagayo está hablando con el espejo.
5. The elephant is painting its nails. El elefante está pintando sus uñas.",,,,,,
"I need help. My daughter became very hot, and now she does not speak much.",Necesito ayuda. Mi hija se puso muy caliente y ya no habla mucho.,https://practicingspanish.com/1Cristina.html,"

Please translate the sentence into Spanish.",,,,,,
"Be calm, Sir, I am going to help you. Come here.","Tranquilo, Señor, lo voy a ayudar. Venga aquí.",https://practicingspanish.com/1Cristina.html,"

Please translate the sentence into Spanish.",,,,,,
She is two years old. She had diarrhea three days ago.,Ella tiene dos años. Tuvo diarrea hace tres dias.,https://practicingspanish.com/1Cristina.html,"

Please translate the sentence into Spanish, and return only the translated sentence.",,,,,,
"Temperature, 103.8. Pulse, 135. Blood pressure, 80/40.","Temperatura 103.8. Pulso, 135. Tensión arterial, 80/40.",https://practicingspanish.com/1Cristina.html,"

Please translate the sentence into Spanish for me.",,,,,,
What are you going to do?,¿Qué van a hacer?,https://practicingspanish.com/1Cristina.html, ¿Qué vas a hacer?,,,,,,
"First of all, we are going to do tests of blood and urine.","Primero que nada, vamos a hacer exámenes de sangre y orina.",https://practicingspanish.com/1Cristina.html," En primer lugar, vamos a hacer pruebas de sangre y orina.",,,,,,
